code,name,series,date_of_listing,paid_up_value,market_lot,ISIN_number,face_value
TATAPOWER,Tata Power Company Limited,EQ,03-APR-1996,1,1,INE245A01021,1
TATASTEEL,Tata Steel Limited,EQ,18-NOV-1998,1,1,INE081A01020,1
TATATECH,Tata Technologies Limited,EQ,30-NOV-2023,2,1,INE142M01025,2
TATVA,Tatva Chintan Pharma Chem Limited,EQ,29-JUL-2021,10,1,INE0GK401011,10
TBZ,Tribhovandas Bhimji Zaveri Limited,EQ,09-MAY-2012,10,1,INE760L01018,10
TCI,Transport Corporation of India Limited,EQ,21-JAN-2002,2,1,INE688A01022,2
TCIEXP,TCI Express Limited,EQ,15-DEC-2016,2,1,INE586V01016,2
TCLCONS,Tantia Constructions Limited,BE,16-OCT-2023,1,1,INE388G01026,1
TCNSBRANDS,TCNS Clothing Co. Limited,EQ,30-JUL-2018,2,1,INE778U01029,2
TCPLPACK,TCPL Packaging Limited,EQ,17-OCT-2017,10,1,INE822C01015,10
TCS,Tata Consultancy Services Limited,EQ,25-AUG-2004,1,1,INE467B01029,1
TDPOWERSYS,TD Power Systems Limited,EQ,08-SEP-2011,2,1,INE419M01027,2
TEAMLEASE,Teamlease Services Limited,EQ,12-FEB-2016,10,1,INE985S01024,10
TECHIN,Techindia Nirman Limited,BE,08-SEP-2011,10,1,INE778A01021,10
TECHM,Tech Mahindra Limited,EQ,28-AUG-2006,5,1,INE669C01036,5
TECHNOE,Techno Electric & Engineering Company Limited,EQ,04-DEC-2018,2,1,INE285K01026,2
TECILCHEM,TECIL Chemicals and Hydro Power Limited,BE,06-DEC-1995,10,50,INE014B01011,10
TEGA,Tega Industries Limited,EQ,13-DEC-2021,10,1,INE011K01018,10
TEJASNET,Tejas Networks Limited,EQ,27-JUN-2017,10,1,INE010J01012,10
TEMBO,Tembo Global Industries Limited,EQ,23-APR-2021,10,1,INE869Y01010,10
TERASOFT,Tera Software Limited,BE,29-DEC-2016,10,1,INE482B01010,10
TEXINFRA,Texmaco Infrastructure & Holdings Limited,EQ,09-SEP-2004,1,1,INE435C01024,1
TEXMOPIPES,Texmo Pipes and Products Limited,EQ,10-MAR-2010,10,1,INE141K01013,10
TEXRAIL,Texmaco Rail & Engineering Limited,EQ,03-MAR-2011,1,1,INE621L01012,1
TFCILTD,Tourism Finance Corporation of India Limited,EQ,26-JUL-2000,10,1,INE305A01015,10
TFL,Transwarranty Finance Limited,EQ,26-FEB-2007,10,1,INE804H01012,10
TGBHOTELS,TGB Banquets And Hotels Limited,EQ,17-MAY-2007,10,1,INE797H01018,10
THANGAMAYL,Thangamayil Jewellery Limited,EQ,19-FEB-2010,10,1,INE085J01014,10
THEINVEST,The Investment Trust Of India Limited,BE,02-AUG-2017,10,1,INE924D01017,10
THEJO,Thejo Engineering Limited,EQ,10-OCT-2023,10,1,INE121N01019,10
THEMISMED,Themis Medicare Limited,EQ,02-APR-2007,1,1,INE083B01024,1
THERMAX,Thermax Limited,EQ,30-AUG-1995,2,1,INE152A01029,2
THOMASCOOK,Thomas Cook  (India)  Limited,EQ,07-JUN-2000,1,1,INE332A01027,1
THOMASCOTT,Thomas Scott (India) Limited,BE,30-JAN-2012,10,1,INE480M01011,10
THYROCARE,Thyrocare Technologies Limited,EQ,09-MAY-2016,10,1,INE594H01019,10
TI,Tilaknagar Industries Limited,EQ,16-JUL-2010,10,1,INE133E01013,10
TIDEWATER,Tide Water Oil Company (India) Limited,EQ,16-JAN-2007,2,1,INE484C01030,2
TIIL,Technocraft Industries (India) Limited,EQ,12-FEB-2007,10,1,INE545H01011,10
TIINDIA,Tube Investments of India Limited,EQ,02-NOV-2017,1,1,INE974X01010,1
TIJARIA,Tijaria Polypipes Limited,BE,14-OCT-2011,10,1,INE440L01017,10
TIL,TIL Limited,BZ,27-SEP-1995,10,1,INE806C01018,10
TIMESGTY,Times Guaranty Limited,BE,11-JUN-2002,10,1,INE289C01025,10
TIMETECHNO,Time Technoplast Limited,EQ,13-JUN-2007,1,1,INE508G01029,1
TIMKEN,Timken India Limited,EQ,06-FEB-2007,10,1,INE325A01013,10
TIPSFILMS,Tips Films Limited,BE,06-OCT-2022,10,1,INE0LQS01015,10
TIPSINDLTD,TIPS Industries Limited,EQ,10-NOV-2000,1,1,INE716B01029,1
TIRUMALCHM,Thirumalai Chemicals Limited,EQ,14-MAY-2003,1,1,INE338A01024,1
TIRUPATIFL,Tirupati Forge Limited,BE,04-AUG-2020,2,1,INE319Y01024,2
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,EQ,21-APR-2008,2,1,INE615H01020,2
TITAN,Titan Company Limited,EQ,24-SEP-2004,1,1,INE280A01028,1
TMB,Tamilnad Mercantile Bank Limited,EQ,15-SEP-2022,10,1,INE668A01016,10
TNPETRO,Tamilnadu PetroProducts Limited,EQ,27-OCT-1999,10,1,INE148A01019,10
TNPL,Tamil Nadu Newsprint & Papers Limited,EQ,14-FEB-1996,10,1,INE107A01015,10
TNTELE,Tamilnadu Telecommunication Limited,BE,04-FEB-2003,10,1,INE141D01018,10
TOKYOPLAST,Tokyo Plast International Limited,EQ,11-OCT-1995,10,1,INE932C01012,10
TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-NOV-2002,5,1,INE685A01028,5
TORNTPOWER,Torrent Power Limited,EQ,28-NOV-2006,10,1,INE813H01021,10
TOTAL,Total Transport Systems Limited,EQ,28-AUG-2020,10,1,INE336X01012,10
TOUCHWOOD,Touchwood Entertainment Limited,EQ,21-JAN-2020,10,1,INE486Y01013,10
TPHQ,Teamo Productions HQ Limited,BE,30-JAN-2009,1,1,INE065J01024,1
TPLPLASTEH,TPL Plastech Limited,EQ,20-MAY-2015,2,1,INE413G01022,2
TRACXN,Tracxn Technologies Limited,EQ,20-OCT-2022,1,1,INE0HMF01019,1
TREEHOUSE,Tree House Education & Accessories Limited,BE,26-AUG-2011,10,1,INE040M01013,10
TREJHARA,TREJHARA SOLUTIONS LIMITED,BE,28-DEC-2018,10,1,INE00CA01015,10
TREL,Transindia Real Estate Limited,EQ,10-AUG-2023,2,1,INE0O3901029,2
TRENT,Trent Limited,EQ,07-JUN-2004,1,1,INE849A01020,1
TRF,TRF Limited,BE,26-MAR-2010,10,1,INE391D01019,10
TRIDENT,Trident Limited,EQ,21-FEB-2001,1,1,INE064C01022,1
TRIGYN,Trigyn Technologies Limited,EQ,09-APR-1998,10,1,INE948A01012,10
TRIL,Transformers And Rectifiers (India) Limited,BE,28-DEC-2007,1,1,INE763I01026,1
TRITURBINE,Triveni Turbine Limited,EQ,28-OCT-2011,1,1,INE152M01016,1
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1,1,INE256C01024,1
TRU,TruCap Finance Limited,EQ,20-JUN-2023,2,1,INE615R01029,2
TTKHLTCARE,TTK Healthcare Limited,EQ,02-DEC-2015,10,1,INE910C01018,10
TTKPRESTIG,TTK Prestige Limited,EQ,22-DEC-1999,1,1,INE690A01028,1
TTL,T T Limited,EQ,22-FEB-2007,10,1,INE592B01016,10
TTML,Tata Teleservices (Maharashtra) Limited,EQ,20-OCT-2000,10,1,INE517B01013,10
TV18BRDCST,TV18 Broadcast Limited,BE,08-FEB-2007,2,1,INE886H01027,2
TVSELECT,TVS Electronics Limited,EQ,26-DEC-2003,10,1,INE236G01019,10
TVSHLTD,TVS Holdings Limited,EQ,23-OCT-2012,5,1,INE105A01035,5
TVSMOTOR,TVS Motor Company Limited,EQ,02-AUG-2000,1,1,INE494B01023,1
TVSSCS,TVS Supply Chain Solutions Limited,EQ,23-AUG-2023,1,1,INE395N01027,1
TVSSRICHAK,TVS Srichakra Limited,EQ,13-FEB-2007,10,1,INE421C01016,10
TVTODAY,TV Today Network Limited,EQ,16-JAN-2004,5,1,INE038F01029,5
TVVISION,TV Vision Limited,BE,15-SEP-2016,10,1,INE871L01013,10
UBL,United Breweries Limited,EQ,28-JUL-2008,1,1,INE686F01025,1
UCAL,UCAL LIMITED,EQ,13-SEP-1995,10,1,INE139B01016,10
UCOBANK,UCO Bank,EQ,09-OCT-2003,10,1,INE691A01018,10
UDS,Updater Services Limited,EQ,04-OCT-2023,10,1,INE851I01011,10
UFLEX,UFLEX Limited,EQ,23-AUG-1995,10,1,INE516A01017,10
UFO,UFO Moviez India Limited,EQ,14-MAY-2015,10,1,INE527H01019,10
UGARSUGAR,The Ugar Sugar Works Limited,EQ,23-AUG-2010,1,1,INE071E01023,1
UGROCAP,Ugro Capital Limited,EQ,11-AUG-2021,10,1,INE583D01011,10
UJJIVAN,Ujjivan Financial Services Limited,EQ,10-MAY-2016,10,1,INE334L01012,10
UJJIVANSFB,Ujjivan Small Finance Bank Limited,EQ,12-DEC-2019,10,1,INE551W01018,10
ULTRACEMCO,UltraTech Cement Limited,EQ,24-AUG-2004,10,1,INE481G01011,10
UMAEXPORTS,Uma Exports Limited,BE,07-APR-2022,10,1,INE0GIU01018,10
UMANGDAIRY,Umang Dairies Limited,EQ,02-DEC-2015,5,1,INE864B01027,5
UMESLTD,Usha Martin Education & Solutions Limited,BE,12-JUL-2010,1,1,INE240C01028,1
UNICHEMLAB,Unichem Laboratories Limited,EQ,07-FEB-2001,2,1,INE351A01035,2
UNIDT,United Drilling Tools Limited,EQ,25-SEP-2020,10,1,INE961D01019,10
UNIENTER,Uniphos Enterprises Limited,EQ,23-JAN-2004,2,1,INE037A01022,2
UNIINFO,Uniinfo Telecom Services Limited,BE,12-JAN-2022,10,1,INE481Z01011,10
UNIONBANK,Union Bank of India,EQ,24-SEP-2002,10,1,INE692A01016,10
UNIPARTS,Uniparts India Limited,EQ,12-DEC-2022,10,1,INE244O01017,10
UNITECH,Unitech Limited,BZ,08-SEP-1999,2,1,INE694A01020,2
UNITEDPOLY,United Polyfab Gujarat Limited,EQ,31-DEC-2021,10,1,INE368U01011,10
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,EQ,28-JAN-2015,10,1,INE458F01011,10
UNIVASTU,Univastu India Limited,EQ,22-JUN-2020,10,1,INE562X01013,10
UNIVCABLES,Universal Cables Limited,EQ,17-MAY-1995,10,1,INE279A01012,10
UNIVPHOTO,Universus Photo Imagings Limited,EQ,14-FEB-2020,10,1,INE03V001013,10
UNOMINDA,UNO Minda Limited,EQ,02-FEB-2007,2,1,INE405E01023,2
UPL,UPL Limited,EQ,23-JAN-2004,2,1,INE628A01036,2
URAVI,Uravi T and Wedge Lamps Limited,EQ,05-JUL-2023,10,1,INE568Z01015,10
URJA,Urja Global Limited,BE,28-MAR-2017,1,1,INE550C01020,1
USHAMART,Usha Martin Limited,EQ,11-OCT-2000,1,1,INE228A01035,1
USK,Udayshivakumar Infra Limited,BE,03-APR-2023,10,1,INE0N0Y01013,10
UTIAMC,UTI Asset Management Company Limited,EQ,12-OCT-2020,10,1,INE094J01016,10
UTKARSHBNK,Utkarsh Small Finance Bank Limited,EQ,21-JUL-2023,10,1,INE735W01017,10
UTTAMSUGAR,Uttam Sugar Mills Limited,EQ,10-APR-2006,10,1,INE786F01031,10
V2RETAIL,V2 Retail Limited,BE,04-JUL-2007,10,1,INE945H01013,10
VADILALIND,Vadilal Industries Limited,EQ,15-JUN-2011,10,1,INE694D01016,10
VAIBHAVGBL,Vaibhav Global Limited,EQ,05-APR-2004,2,1,INE884A01027,2
VAISHALI,Vaishali Pharma Limited,EQ,15-JAN-2020,10,1,INE972X01014,10
VAKRANGEE,Vakrangee Limited,EQ,03-APR-2006,1,1,INE051B01021,1
VALIANTLAB,Valiant Laboratories Limited,EQ,06-OCT-2023,10,1,INE0JWS01017,10
VALIANTORG,Valiant Organics Limited,EQ,23-JUL-2021,10,1,INE565V01010,10
VARDHACRLC,Vardhman Acrylics Limited,EQ,30-SEP-2003,10,1,INE116G01013,10
VARDMNPOLY,Vardhman Polytex Limited,BE,12-MAY-2003,10,1,INE835A01011,10
VARROC,Varroc Engineering Limited,EQ,06-JUL-2018,1,1,INE665L01035,1
VASCONEQ,Vascon Engineers Limited,EQ,15-FEB-2010,10,1,INE893I01013,10
VASWANI,Vaswani Industries Limited,BE,20-SEP-2011,10,1,INE590L01019,10
VBL,Varun Beverages Limited,EQ,08-NOV-2016,5,1,INE200M01021,5
VEDL,Vedanta Limited,EQ,13-MAY-1998,1,1,INE205A01025,1
VENKEYS,Venky's (India) Limited,EQ,28-JUL-2003,10,1,INE398A01010,10
VENUSPIPES,Venus Pipes & Tubes Limited,EQ,24-MAY-2022,10,1,INE0JA001018,10
VENUSREM,Venus Remedies Limited,EQ,20-DEC-2006,10,1,INE411B01019,10
VERANDA,Veranda Learning Solutions Limited,EQ,11-APR-2022,10,1,INE0IQ001011,10
VERTOZ,Vertoz Advertising Limited,BE,14-MAY-2020,10,1,INE188Y01015,10
VESUVIUS,Vesuvius India Limited,EQ,04-OCT-2002,10,1,INE386A01015,10
VETO,Veto Switchgears And Cables Limited,EQ,29-APR-2015,10,1,INE918N01018,10
VGUARD,V-Guard Industries Limited,EQ,13-MAR-2008,1,1,INE951I01027,1
VHL,Vardhman Holdings Limited,EQ,30-JUN-2005,10,1,INE701A01023,10
VHLTD,Viceroy Hotels Limited,BE,03-APR-2024,10,1,INE048C01025,10
VIDHIING,Vidhi Specialty Food Ingredients Limited,EQ,02-MAR-2016,1,1,INE632C01026,1
VIJAYA,Vijaya Diagnostic Centre Limited,EQ,14-SEP-2021,1,1,INE043W01024,1
VIJIFIN,Viji Finance Limited,BE,11-JUL-2016,1,1,INE159N01027,1
VIKASECO,Vikas EcoTech Limited,EQ,12-DEC-2011,1,1,INE806A01020,1
VIKASLIFE,Vikas Lifecare Limited,BE,08-MAY-2019,1,1,INE161L01027,1
VIMTALABS,Vimta Labs Limited,EQ,15-DEC-2005,2,1,INE579C01029,2
VINATIORGA,Vinati Organics Limited,EQ,28-JUL-2009,1,1,INE410B01037,1
VINDHYATEL,Vindhya Telelinks Limited,EQ,08-FEB-1995,10,1,INE707A01012,10
VINEETLAB,Vineet Laboratories Limited,BE,15-JUN-2021,10,1,INE505Y01010,10
VINNY,Vinny Overseas Limited,BE,28-NOV-2022,1,1,INE01KI01027,1
VINYLINDIA,Vinyl Chemicals (India) Limited,EQ,21-JUL-2008,1,1,INE250B01029,1
VIPCLOTHNG,VIP Clothing Limited,EQ,06-AUG-2007,2,1,INE450G01024,2
VIPIND,VIP Industries Limited,EQ,02-MAR-2005,2,1,INE054A01027,2
VIPULLTD,Vipul Limited,BE,23-APR-2015,1,1,INE946H01037,1
VIRINCHI,Virinchi Limited,EQ,03-MAY-2023,10,1,INE539B01017,10
VISAKAIND,Visaka Industries Limited,EQ,28-AUG-1996,2,1,INE392A01021,2
VISHNU,Vishnu Chemicals Limited,EQ,05-MAR-2015,2,1,INE270I01022,2
VISHWARAJ,Vishwaraj Sugar Industries Limited,EQ,15-OCT-2019,2,1,INE430N01022,2
VIVIDHA,Visagar Polytex Limited,BE,21-MAY-2013,1,1,INE370E01029,1
VLEGOV,VL E-Governance & IT Solutions Limited,BE,14-AUG-2023,10,1,INE03HW01020,10
VLSFINANCE,VLS Finance Limited,EQ,25-MAY-1995,10,1,INE709A01018,10
VMART,V-Mart Retail Limited,EQ,20-FEB-2013,10,1,INE665J01013,10
VOLTAMP,Voltamp Transformers Limited,EQ,20-SEP-2006,10,1,INE540H01012,10
VOLTAS,Voltas Limited,EQ,12-APR-1995,1,1,INE226A01021,1
VPRPL,Vishnu Prakash R Punglia Limited,EQ,05-SEP-2023,10,1,INE0AE001013,10
VRLLOG,VRL Logistics Limited,EQ,30-APR-2015,10,1,INE366I01010,10
VSSL,Vardhman Special Steels Limited,EQ,17-MAY-2012,10,1,INE050M01012,10
VSTIND,VST Industries Limited,EQ,05-SEP-2003,10,1,INE710A01016,10
VSTL,Vibhor Steel Tubes Limited,EQ,20-FEB-2024,10,1,INE0QTF01015,10
VSTTILLERS,V.S.T Tillers Tractors Limited,EQ,20-JUN-2011,10,1,INE764D01017,10
VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,2,1,INE825A01020,2
WABAG,VA Tech Wabag Limited,EQ,13-OCT-2010,2,1,INE956G01038,2
WALCHANNAG,Walchandnagar Industries Limited,BE,18-SEP-1996,2,1,INE711A01022,2
WANBURY,Wanbury Limited,EQ,29-JAN-2007,10,1,INE107F01022,10
WEALTH,Wealth First Portfolio Managers Limited,EQ,20-JAN-2021,10,1,INE658T01017,10
WEBELSOLAR,Websol Energy System Limited,BE,15-MAY-2007,10,1,INE855C01015,10
WEIZMANIND,Weizmann Limited,EQ,10-MAY-1995,10,1,INE080A01014,10
WEL,Wonder Electricals Limited,EQ,17-JAN-2022,10,1,INE02WG01016,10
WELCORP,Welspun Corp Limited,EQ,24-MAY-2005,5,1,INE191B01025,5
WELENT,Welspun Enterprises Limited,EQ,04-NOV-2004,10,1,INE625G01013,10
WELINV,Welspun Investments and Commercials Limited,EQ,20-SEP-2010,10,1,INE389K01018,10
WELSPUNLIV,Welspun Living Limited,EQ,04-DEC-2003,1,1,INE192B01031,1
WENDT,Wendt (India) Limited,EQ,07-AUG-2006,10,1,INE274C01019,10
WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,05-JUN-2023,2,1,INE274F01020,2
WEWIN,WE WIN LIMITED,EQ,15-JUN-2022,10,1,INE082W01014,10
WHEELS,Wheels India Limited,EQ,07-APR-2000,10,1,INE715A01015,10
WHIRLPOOL,Whirlpool of India Limited,EQ,06-APR-2010,10,1,INE716A01013,10
WILLAMAGOR,Williamson Magor & Company Limited,EQ,08-FEB-1995,10,1,INE210A01017,10
WINDLAS,Windlas Biotech Limited,EQ,16-AUG-2021,5,1,INE0H5O01029,5
WINDMACHIN,Windsor Machines Limited,EQ,17-AUG-2011,2,1,INE052A01021,2
WINSOME,Winsome Yarns Limited,BE,25-AUG-2011,10,1,INE784B01035,10
WIPL,The Western India Plywoods Limited,BE,17-APR-2017,10,1,INE215F01023,10
WIPRO,Wipro Limited,EQ,08-NOV-1995,2,1,INE075A01022,2
WOCKPHARMA,Wockhardt Limited,BE,23-FEB-2000,5,1,INE049B01025,5
WONDERLA,Wonderla Holidays Limited,EQ,09-MAY-2014,10,1,INE066O01014,10
WORTH,Worth Peripherals Limited,EQ,04-AUG-2020,10,1,INE196Y01018,10
WSI,W S Industries (I) Limited,EQ,01-AUG-2007,10,1,INE100D01014,10
WSTCSTPAPR,West Coast Paper Mills Limited,EQ,17-JAN-2001,2,1,INE976A01021,2
XCHANGING,Xchanging Solutions Limited,EQ,09-MAR-2005,10,1,INE692G01013,10
XELPMOC,Xelpmoc Design And Tech Limited,BE,04-FEB-2019,10,1,INE01P501012,10
XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10,1,INE445C01015,10
YAARI,Yaari Digital Integrated Services Limited,BE,18-AUG-2011,2,1,INE126M01010,2
YASHO,Yasho Industries Limited,EQ,21-AUG-2023,10,1,INE616Z01012,10
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,EQ,07-AUG-2023,10,1,INE0JO301016,10
YATRA,Yatra Online Limited,EQ,28-SEP-2023,1,1,INE0JR601024,1
YESBANK,Yes Bank Limited,EQ,12-JUL-2005,2,1,INE528G01035,2
YUKEN,Yuken India Limited,EQ,02-SEP-2021,10,1,INE384C01016,10
ZAGGLE,Zaggle Prepaid Ocean Services Limited,EQ,22-SEP-2023,1,1,INE07K301024,1
ZEEL,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1,1,INE256A01028,1
ZEELEARN,Zee Learn Limited,BE,20-DEC-2010,1,1,INE565L01011,1
ZEEMEDIA,Zee Media Corporation Limited,EQ,10-JAN-2007,1,1,INE966H01019,1
ZENITHEXPO,Zenith Exports Limited,EQ,10-JUL-1996,10,1,INE058B01018,10
ZENITHSTL,Zenith Steel Pipes & Industries Limited,EQ,30-APR-2007,10,1,INE318D01020,10
ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,INE520A01027,2
ZENTEC,Zen Technologies Limited,EQ,30-MAR-2015,1,1,INE251B01027,1
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5,1,INE342J01019,5
ZIMLAB,Zim Laboratories Limited,EQ,25-NOV-2022,10,1,INE518E01015,10
ZODIAC,Zodiac Energy Limited,BE,14-DEC-2021,10,1,INE761Y01019,10
ZODIACLOTH,Zodiac Clothing Company Limited,EQ,27-SEP-1995,10,1,INE206B01013,10
ZOMATO,Zomato Limited,EQ,23-JUL-2021,1,1,INE758T01015,1
ZOTA,Zota Health Care LImited,EQ,19-AUG-2019,10,1,INE358U01012,10
ZUARI,Zuari Agro Chemicals Limited,EQ,27-NOV-2012,10,1,INE840M01016,10
ZUARIIND,ZUARI INDUSTRIES LIMITED,EQ,12-APR-1995,10,1,INE217A01012,10
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1,1,INE010B01027,1
ZYDUSWELL,Zydus Wellness Limited,EQ,13-NOV-2009,10,1,INE768C01010,10
